from,to,year,location,occupation
Braun,Verein fuer Raumschifffahrt,1,Breslau,Mitglied
Braun,Verein fuer Raumschifffahrt,1,Berlin,Forscher
Braun,Verein fuer Raumschifffahrt,1,Berlin,Vorstandmitglied
Braun,Heeresversuchsanstalt,1,Kummersdorf,Mitarbeiter
Braun,V2,2,Peenemuende,technischer Direktor
Braun,SS,2,Berlin,Sturmbannfuehrer
Braun,US Army,3,Fort Bliss,Berater
Braun,ABMA,3,Huntsville,technischer Direktor
Braun,Redstone,3,Huntsville,technischer Leiter
Braun,Jupiter,3,Huntsville,Entwickler
Braun,NASA,4,Huntsville,Direktor MSFC
Braun,Mercury,4,Huntsville,Direktor MSFC
Braun,Gemini,4,Huntsville,Direktor MSFC
Braun,Apollo,4,Huntsville,Direktor MSFC
Braun,Saturn,4,Huntsville,Leitung
Braun,NSDAP,2,Berlin,Mitglied
Dornberger,Heereswaffenamt,1,Berlin,Entwicklungschef
Dornberger,Verein fuer Raumschifffahrt,1,Berlin,Foerderer
Dornberger,Heereswaffenamt,2,Kummersdorf,Raketenabteilungschef
Dornberger,Heeresversuchsanstalt,2,Peenemuende,Kommandeur
Dornberger,V2,2,Mittelbau-Dora,Logistik-und Trainingsleiter
Dornberger,Mittelwerk GmbH,2,Mittelbau-Dora,Beirat
Dornberger,US Air Force,3,Wright-Field,Entwickler
Dornberger,Bell Air Craft Corporation,3,Buffalo,Raketen-Entwickler
Dornberger,Dyna Soar,3,Buffalo,Entwickler
Dornberger,Bell Air Craft Corporation,4,Buffalo,Geschaeftsleitung
Rickhey,NSDAP,1,Berlin,Mitglied
Rickhey,Heeresversuchsanstalt,2,Mittelbau-Dora,Generaldirektor
Rickhey,US Army,3,Ohio,Berater
Rickhey,Gestapo,2,Mittelbau-Dora,Informant
Rudolph,NSDAP,1,Berlin,Mitglied
Rudolph,SA,2,Berlin,Mitglied
Rudolph,Verein fuer Raumschifffahrt,2,Berlin,Besucher
Rudolph,Firma Heylandt,1,Berlin,Angestellter Raketenprojekt
Rudolph,Heereswaffenamt,2,Kummersdorf,Angestellter
Rudolph,Heeresversuchsanstalt,2,Peenemuende,Fabrikationsleiter
Rudolph,SS,2,Berlin,Hauptsturmfuehrer
Rudolph,Heeresversuchsanstalt,2,Mittelbau-Dora,Betriebsdirektor V2
